2 : [ 22 301 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7489761092150171
2 : [ 15 41 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.7488617738116918
2 : [ 16 178 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.7488617738116917
2 : [ 20 432 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7488054607508533
2 : [ 20 434 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7488054607508532
2 : [ 20 228 ]  accuracy : 0.9424920127795527, recall : 0.9424920127795527, precision : 0.9457991813736998, f1 : 0.9145892887170002, roc_auc : 0.7487758945386065
2 : [ 5 129 ]  accuracy : 0.9158576051779935, recall : 0.9158576051779935, precision : 0.9229375477843761, f1 : 0.8756341292749059, roc_auc : 0.7485729817885295
2 : [ 15 178 ]  accuracy : 0.9383116883116883, recall : 0.9383116883116883, precision : 0.9421171361106425, f1 : 0.9084491722682678, roc_auc : 0.7484975414314333
2 : [ 22 163 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7484641638225256
2 : [ 1 385 ]  accuracy : 0.9176470588235294, recall : 0.9176470588235294, precision : 0.9244290657439447, f1 : 0.8782389029231326, roc_auc : 0.7481684981684982
2 : [ 20 24 ]  accuracy : 0.9361022364217252, recall : 0.9361022364217252, precision : 0.9401851606120303, f1 : 0.9052077731734833, roc_auc : 0.7472696245733788
