3 : [ 0 1 112 ]  accuracy : 0.8994082840236687, recall : 0.8994082840236687, precision : 0.9095269773467316, f1 : 0.8517760696049697, roc_auc : 0.7167182662538699
3 : [ 0 1 113 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 114 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 115 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.603963510537905
3 : [ 0 1 116 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 117 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5821012897137465
3 : [ 0 1 118 ]  accuracy : 0.934640522875817, recall : 0.934640522875817, precision : 0.9389123841257637, f1 : 0.9030648295354179, roc_auc : 0.6825174825174826
3 : [ 0 1 119 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 120 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5894935514312677
3 : [ 0 1 121 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 122 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6461177474402731
3 : [ 0 1 123 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 124 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 125 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 126 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 127 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 128 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 129 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6815273037542662
3 : [ 0 1 130 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 131 ]  accuracy : 0.948220064724919, recall : 0.948220064724919, precision : 0.9509012264220106, f1 : 0.9230182025395393, roc_auc : 0.6661689419795221
3 : [ 0 1 132 ]  accuracy : 0.932258064516129, recall : 0.932258064516129, precision : 0.93684703433923, f1 : 0.8995745597501211, roc_auc : 0.6419508980062613
3 : [ 0 1 133 ]  accuracy : 0.932258064516129, recall : 0.932258064516129, precision : 0.93684703433923, f1 : 0.8995745597501211, roc_auc : 0.6480474542758279
3 : [ 0 1 134 ]  accuracy : 0.932258064516129, recall : 0.932258064516129, precision : 0.93684703433923, f1 : 0.8995745597501211, roc_auc : 0.6213544241225901
3 : [ 0 1 135 ]  accuracy : 0.9258064516129032, recall : 0.9258064516129032, precision : 0.9313111342351716, f1 : 0.8901388663748852, roc_auc : 0.5767307983638843
3 : [ 0 1 136 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5896508335954702
3 : [ 0 1 137 ]  accuracy : 0.9292604501607717, recall : 0.9292604501607717, precision : 0.9342645340722284, f1 : 0.8951875669882102, roc_auc : 0.5926391947153193
3 : [ 0 1 138 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.5655225019069413
3 : [ 0 1 139 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.610373760488177
3 : [ 0 1 140 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.6079328756674295
3 : [ 0 1 141 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.6076277650648361
3 : [ 0 1 142 ]  accuracy : 0.9253246753246753, recall : 0.9253246753246753, precision : 0.9309010794400405, f1 : 0.8894351853879678, roc_auc : 0.5967963386727689
3 : [ 0 1 143 ]  accuracy : 0.912621359223301, recall : 0.912621359223301, precision : 0.9202563860872844, f1 : 0.8709279976344192, roc_auc : 0.5939059627002888
3 : [ 0 1 144 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
3 : [ 0 1 145 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
3 : [ 0 1 146 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
3 : [ 0 1 147 ]  accuracy : 0.9453376205787781, recall : 0.9453376205787781, precision : 0.9483255963027677, f1 : 0.9187744147112754, roc_auc : 0.7410964385754302
